2019.07.10 11:30:53 WARN  web[][o.s.s.a.LogOAuthWarning] For security reasons, OAuth authentication should use HTTPS. You should set the property 'Administration > Configuration > Server base URL' to a HTTPS URL.
2019.07.10 11:30:53 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/plugins/download
2019.07.10 11:30:53 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/permissions/search_templates
2019.07.10 11:30:54 INFO  web[][o.s.s.t.TelemetryDaemon] Sharing of SonarQube statistics is enabled.
2019.07.10 11:30:54 INFO  web[][o.s.s.n.NotificationDaemon] Notification service started (delay 60 sec.)
2019.07.10 11:30:54 INFO  web[][o.s.s.s.GeneratePluginIndex] Generate scanner plugin index
2019.07.10 11:30:54 INFO  web[][o.s.s.s.RegisterPlugins] Register plugins
2019.07.10 11:30:54 INFO  web[][o.s.s.s.RegisterMetrics] Register metrics
2019.07.10 11:30:54 INFO  web[][o.s.s.q.RegisterQualityGates] Built-in quality gate's conditions of [Sonar way] has been updated
2019.07.10 11:30:54 INFO  web[][o.s.s.r.RegisterRules] Register rules
2019.07.10 11:31:10 INFO  web[][o.s.s.q.BuiltInQProfileRepositoryImpl] Load quality profiles
2019.07.10 11:31:11 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register quality profiles
2019.07.10 11:31:11 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile css/Sonar way
2019.07.10 11:31:13 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile scala/Sonar way
2019.07.10 11:31:13 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile jsp/Sonar way
2019.07.10 11:31:13 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile kotlin/Sonar way
2019.07.10 11:31:14 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile go/Sonar way
2019.07.10 11:31:14 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile js/Sonar way Recommended
2019.07.10 11:31:15 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile js/Sonar way
2019.07.10 11:31:16 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile py/Sonar way
2019.07.10 11:31:17 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile ruby/Sonar way
2019.07.10 11:31:17 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile cs/Sonar way
2019.07.10 11:31:18 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile java/Sonar way
